ts,open,high,low,close,volume
1769089020,89701.2,89829.7,89691.8,89788.2,89.509
1769089080,89788.2,89825.5,89757.2,89787.1,50.608
1769089140,89787.1,89829.7,89787.1,89821.1,55.574
1769089200,89821.1,89821.1,89535.0,89662.1,268.849
1769089260,89662.1,89716.6,89614.9,89648.4,215.342
1769089320,89648.4,89666.6,89558.2,89569.8,137.109
1769089380,89569.8,89594.7,89502.6,89540.3,208.772
1769089440,89540.3,89591.0,89507.2,89583.3,61.221
1769089500,89583.3,89636.2,89575.4,89606.7,95.06
1769089560,89606.7,89640.1,89592.4,89596.1,36.758
1769089620,89596.1,89685.5,89584.8,89612.7,110.813
1769089680,89612.7,89636.3,89550.0,89566.1,44.295
1769089740,89566.1,89620.1,89566.0,89610.8,51.997
1769089800,89610.8,89622.2,89550.0,89589.9,107.517
1769089860,89589.9,89595.0,89545.4,89567.7,61.416
1769089920,89567.7,89587.9,89522.0,89522.0,49.732
1769089980,89522.0,89522.1,89432.5,89475.8,190.109
1769090040,89475.8,89550.0,89467.8,89501.9,60.265
1769090100,89501.9,89563.6,89496.0,89563.6,37.628
1769090160,89563.6,89611.1,89563.6,89588.3,76.156
1769090220,89588.3,89625.4,89588.2,89600.1,44.83
1769090280,89600.1,89600.1,89538.6,89556.1,107.48
1769090340,89556.1,89581.7,89552.8,89563.9,16.452
1769090400,89563.9,89586.5,89528.6,89530.8,35.458
1769090460,89530.8,89530.9,89500.0,89510.3,36.907
1769090520,89510.3,89510.4,89365.3,89502.4,146.064
1769090580,89502.4,89522.6,89425.9,89471.5,64.607
1769090640,89471.5,89538.7,89471.4,89533.7,21.56
1769090700,89533.7,89538.2,89467.0,89525.6,53.029
1769090760,89525.6,89525.6,89472.3,89472.3,27.367
1769090820,89472.3,89519.3,89472.3,89509.5,25.387
1769090880,89509.5,89509.6,89451.2,89478.4,38.56
1769090940,89478.4,89500.5,89455.9,89481.3,50.844
1769091000,89481.3,89499.5,89449.7,89484.3,21.536
1769091060,89484.3,89543.2,89484.2,89526.7,18.34
1769091120,89526.7,89607.1,89512.1,89606.9,65.05
1769091180,89606.9,89624.2,89562.4,89569.1,39.484
1769091240,89569.1,89656.1,89564.1,89652.4,69.87
1769091300,89652.4,89656.6,89585.5,89635.6,48.877
1769091360,89635.6,89640.5,89596.2,89600.1,32.003
1769091420,89600.1,89631.0,89595.3,89595.3,52.534
1769091480,89595.3,89627.9,89580.9,89623.7,20.032
1769091540,89623.7,89639.0,89566.9,89566.9,27.453
1769091600,89566.9,89569.5,89467.3,89507.0,28.039
1769091660,89507.0,89518.7,89406.3,89439.9,47.845
1769091720,89439.9,89451.0,89415.6,89415.6,35.186
1769091780,89415.6,89430.0,89303.7,89388.0,128.821
1769091840,89388.0,89443.9,89364.5,89375.5,93.875
1769091900,89375.5,89479.9,89375.5,89469.0,207.649
1769091960,89469.0,89527.8,89461.7,89525.4,97.441
1769092020,89525.4,89548.5,89500.5,89511.7,21.683
1769092080,89511.7,89518.1,89495.5,89495.6,14.657
1769092140,89495.6,89547.8,89495.5,89535.1,12.407
1769092200,89535.1,89600.0,89499.9,89575.8,93.998
1769092260,89575.8,89575.9,89455.8,89520.4,167.52
1769092320,89520.4,89526.9,89404.8,89477.9,217.074
1769092380,89477.9,89515.7,89400.0,89460.1,69.835
